Title,Year,Genres,Language,Director,Score,soup
Vertigo,1958,Mystery Romance Thriller,English,Alfred Hitchcock,8.15,"sanfrancisco california detective senseofguilt bachelor obsession ""loveofoneslife"" vertigo museum necklace grave plan painting noir psychologicalthriller fearofheights mysteryromancethriller alfredhitchcock jamesstewart kimnovak barbarabelgeddes tomhelmore"
Persona,1966,Drama,Swedish,Ingmar Bergman,8.15,nurse confession dream betrayal patient violence silence psychiatry submerged institution medicaldrama drama ingmarbergman bibiandersson livullmann margarethakrook gunnarbjörnstrand
O Auto da Compadecida,2000,Adventure Comedy,Portuguese,Guel Arraes,8.14,brazilian adventurecomedy guelarraes matheusnachtergaele seltonmello limaduarte rogériocardoso
Stalker,1979,Science Fiction Drama,Russian,Andrei Tarkovsky,8.14,wish guard stalker alien strugatsky writer soldier zone sciencefictiondrama andreitarkovsky aleksandrkaydanovskiy anatoliysolonitsyn nikolaygrinko alisafreyndlikh
The Invisible Guest,2016,Mystery Crime Thriller,Spanish,Oriol Paulo,8.14,falselyaccused judge suspect interrogation unreliablenarrator confessionofcrime uncovertruth accusation mysterycrimethriller oriolpaulo mariocasas anawagener josécoronado bárbaralennie
Its a Wonderful Life,1946,Drama Family Fantasy,English,Frank Capra,8.13,holiday angel bank suicideattempt desperation smalltown greatdepression familybusiness blackandwhite nervousbreakdown oldhouse alternatereality newlywed toldinflashback guardianangel highschooldance christmas buildingandloan dramafamilyfantasy frankcapra jamesstewart donnareed lionelbarrymore henrytravers
Some Like It Hot,1959,Comedy Music Romance,English,Billy Wilder,8.12,"chicago usa florida witness musician mafia crossdressing train band spats allgirlband ""st.valentinesdaymassacre"" sugar ""valentinesday"" dressing comedymusicromance billywilder marilynmonroe tonycurtis jacklemmon georgeraft"
Singin in the Rain,1952,Comedy Music Romance,English,Stanley Donen,8.11,"fan morning musical talkie partner filminfilm hollywood broadway audience chorusgirl dictioncoach pearlnecklace flapper 1920s comedymusicromance stanleydonen genekelly ""donaldoconnor"" debbiereynolds jeanhagen"
Ikiru,1952,Drama,Japanese,Akira Kurosawa,8.1,bureaucracy japan agedifference bar office nightlife senseoflife playground obsequies swing loneliness infatuation bureaucrat drama akirakurosawa takashishimura haruotanaka nobuokaneko bokuzenhidari
The Seventh Seal,1957,Fantasy Drama,Swedish,Ingmar Bergman,8.1,chess countryside witch blacksmith allegory symbolism artist lastjudgment pest crusade juggler witchburning senseoflife dyinganddeath grimreaper demon middleages blackdeath playingchess deathpersonified deathincarnate 14thcentury fantasydrama ingmarbergman maxvonsydow gunnarbjörnstrand bengtekerot nilspoppe
Loving Vincent,2017,Animation Drama Mystery,English,Dorota Kobiela,8.1,painter artist letter investigation bullying strugglingartist 19thcentury mysteriousdeath controversialartist vincentvangogh animationdramamystery dorotakobiela douglasbooth eleanortomlinson robertgulaczyk helenmccrory
