Title,Year,Genres,Language,Director,Score,soup
Little Man Tate,1991,Drama Family,English,Jodie Foster,6.28,singleparent waitress jealousy intelligence intellectuallygifted intelligencetest iq single scientist singlefather womandirector dramafamily jodiefoster jodiefoster diannewiest adamhannbyrd harryconnickjr.
Everybody Wants Some,2016,Comedy,English,Richard Linklater,6.28,malefriendship college rivalry comedy richardlinklater blakejenner zoeydeutch ryanguzman tylerhoechlin
The Emperors New Groove 2: Kronks New Groove,2005,Animation Comedy Family,English,Saul Blinkoff,6.28,competition friendship sequel animationcomedyfamily saulblinkoff patrickwarburton traceyullman earthakitt davidspade
Young & Beautiful,2013,Drama,French,François Ozon,6.28,france teenagegirl prostitution drama françoisozon marinevacth géraldinepailhas charlotterampling frédéricpierrot
The Siege,1998,Drama Action Thriller Crime,English,Edward Zwick,6.28,islam muslim fbi carbomb dramaactionthrillercrime edwardzwick denzelwashington annettebening brucewillis tonyshalhoub
I Spit on Your Grave 2,2013,Thriller Horror Crime,English,Steven R. Monroe,6.28,rape exploitation bulgaria sequel revenge model americanexpress thrillerhorrorcrime stevenr.monroe jemmadallender joeabsolom yavorbaharov aleksandaraleksiev
Outlander,2008,Fantasy Action Science Fiction,English,Howard McCain,6.28,norway predator monster flyingsaucer viking alien alieninvasion fantasyactionsciencefiction howardmccain jimcaviezel sophiamyles jackhuston ronperlman
Black Sea,2015,Adventure Thriller Drama,English,Kevin Macdonald,6.28,submarine sea captain gold underwater adventurethrillerdrama kevinmacdonald judelaw karldavies jodiewhittaker danielryan
The Ash Lad: In the Hall of the Mountain King,2017,Adventure Fantasy,Norwegian,Mikkel Brænne Sandemose,6.28,troll basedonfairytale teenageprotagonist adventurefantasy mikkelbrænnesandemose vebjørnenger eliasholmensørensen madssjøgårdpettersen eiliharboe
Beneath the Planet of the Apes,1970,Adventure Science Fiction Mystery,English,Ted Post,6.28,mutant dystopia survivor astronaut ape science worship adventuresciencefictionmystery tedpost jamesfranciscus kimhunter mauriceevans lindaharrison
I Am Not an Easy Man,2018,Comedy,French,Éléonore Pourriat,6.28,sexism gender genderroles womandirector sexist genderdifferences chauvinisim genderstereotypes comedy éléonorepourriat vincentelbaz moondaillymonira mariesophieferdane blanchegardin
Mary Shelleys Frankenstein,1994,Drama Horror Science Fiction Romance,English,Kenneth Branagh,6.28,experiment remake dramahorrorsciencefictionromance kennethbranagh robertdeniro kennethbranagh tomhulce helenabonhamcarter
"Roman J Israel, Esq",2017,Drama,English,Dan Gilroy,6.28,murder lawyer briefcase losangeles california courtroom civilrights drama dangilroy denzelwashington colinfarrell carmenejogo lyndagravatt
Thunderheart,1992,Action Adventure Crime Mystery Thriller Drama,English,Michael Apted,6.28,fbi past sioux nativeamerican nativeamericanreservation actionadventurecrimemysterythrillerdrama michaelapted valkilmer samshepard grahamgreene fredward
Hell House LLC,2015,Horror Mystery Thriller,English,Stephen Cognetti,6.28,cellar mannequin bible clown halloween hauntedhouse darkness chaos investigation photography house telephone abandonedhouse flashback basement handheldcamera brutality violence talkingtothecamera cellphone hanging hoodedfigure tvnews foundfootage darksecret horrormysterythriller stephencognetti kristinmichelletaylor theodorebouloukos ryanjenniferjones goreabrams
The 33,2015,Drama History,English,Patricia Riggen,6.28,mining chile miningaccident basedonatruestory survival womandirector dramahistory patriciariggen antoniobanderas rodrigosantoro juliettebinoche jamesbrolin
Phenomenon,1996,Drama Fantasy Romance Science Fiction,English,Jon Turteltaub,6.28,braintumor telekinesis genius terminalillness doctor psionicpower dramafantasyromancesciencefiction jonturteltaub kyrasedgwick johntravolta forestwhitaker robertduvall
Legend,1985,Adventure Fantasy,English,Ridley Scott,6.28,gangster biography basedonatruestory twins crimethriller brianhelgeland tomhardy emilybrowning christophereccleston davidthewlis
Gorky Park,1983,Thriller Crime Drama,English,Michael Apted,6.28,basedonnovelorbook coldwar kgb municipalpark politician governmentconspiracy moscow russia thrillercrimedrama michaelapted williamhurt leemarvin briandennehy ianbannen
Act of Valor,2012,Action Thriller War,English,Mike McCoy,6.28,submarine navy scubadiving heroism u.s.navyseal secretplot militarylife valor terroristplot navylife nationalsecurity pregnantwife silverstar counterplot duringcreditsstinger actionthrillerwar mikemccoy roselynsánchez emiliorivera nestorserrano gonzalomenendez
Free Fire,2017,Action Crime Mystery,English,Ben Wheatley,6.28,sniper boston massachusetts gang shootout warehouse actioncrimemystery benwheatley brielarson sharltocopley armiehammer cillianmurphy
"Black Coal, Thin Ice",2014,Crime Drama Mystery Thriller,Chinese,"""Diao Yinan""",6.27,"china crimedramamysterythriller ""diaoyinan"" liaofan gweilunmei wangxuebing 王景春"
Jackass Number Two,2006,Action Comedy Documentary,English,Jeff Tremaine,6.27,wound disgust pain stunt stuntman stupidity bulle shocking actioncomedydocumentary jefftremaine johnnyknoxville bammargera steveo chrispontius
Last Knights,2015,Action Adventure,English,Kazuaki Kiriya,6.27,loyalty emperor castle swordfight revenge honor knight master medieval warrior corrupt actionadventure kazuakikiriya cliveowen morganfreeman akselhennie shohrehaghdashloo
Remo Williams: The Adventure Begins,1985,Comedy Action Adventure Thriller,English,Guy Hamilton,6.27,newidentity agent comedyactionadventurethriller guyhamilton fredward joelgrey wilfordbrimley j.a.preston
Bambi 2,2006,Animation Drama Family,English,Brian Pimental,6.27,lossoflovedone basedonnovelorbook parentchildrelationship relationshipproblems bullying deer sequel animal animationdramafamily brianpimental patrickstewart alexandergould keithferguson brendonbaerg
De Pernas Pro Ar 2,2012,Comedy Romance,Portuguese,Roberto Santucci,6.27,brazilian sequel romance comedyteam comedyromance robertosantucci ingridguimarães mariapaula luismiranda brunogarcia
Biloxi Blues,1988,Comedy Drama Romance,English,Mike Nichols,6.27,mississippiriver homophobia worldwarii bootcamp basedonplayormusical lossofvirginity basictraining semiautobiographical 1940s barracks drillsergeant comedydramaromance mikenichols matthewbroderick christopherwalken mattmulhern coreyparker
Paint Your Wagon,1969,Drama Action Comedy Western Music,English,Joshua Logan,6.27,mining polyamory prospector dramaactioncomedywesternmusic joshualogan leemarvin clinteastwood jeanseberg raywalston
Palo Alto,2013,Drama,English,Gia Coppola,6.27,california basedonnovelorbook sports highschool football(soccer) teenager oldermanyoungerwomanrelationship teenagesexuality womandirector paloalto drama giacoppola emmaroberts jackkilmer natwolff jamesfranco
Creation,2009,Drama History,English,Jon Amiel,6.27,biography faith devoutness author evolution charlesdarwin naturalist 19thcentury dramahistory jonamiel paulbettany jenniferconnelly marthawest jeremynortham
Even Angels Eat Beans,1973,Crime Action Comedy,Italian,Enzo Barboni,6.27,chicago usa gangster fistfight crimeactioncomedy enzobarboni giulianogemma budspencer robertmiddleton billvanders
Loucas pra Casar,2015,Comedy,Portuguese,Roberto Santucci,6.27,brazilian comedy robertosantucci ingridguimarães márciogarcia tatáwerneck suzanapires
Sleeping with Other People,2015,Comedy,English,Leslye Headland,6.27,cheating love womandirector cheater comedy leslyeheadland jasonsudeikis alisonbrie adamscott jasonmantzoukas
Cecil B DeMented,2000,Thriller Comedy Crime,English,John Waters,6.27,heroin blindfold bong perversion burnedalive independentfilm thrillercomedycrime johnwaters melaniegriffith stephendorff aliciawitt adriangrenier
The Beaver,2011,Drama,English,Jodie Foster,6.27,depression puppet womandirector drama jodiefoster melgibson jodiefoster jenniferlawrence antonyelchin
Frenchmen,2003,Comedy Romance,French,Marc Esposito,6.27,Not Available comedyromance marcesposito bernardcampan gérarddarmon jeanpierredarroussin marclavoine
Used Cars,1980,Action Comedy,English,Robert Zemeckis,6.27,senate fight salesman theft car cultfilm usedcarsalesman interstate actioncomedy robertzemeckis kurtrussell jackwarden gerritgraham frankmcrae
The Immigrant,2013,Drama Romance,English,James Gray,6.27,newyorkcity cardgame immigrant slapstick poverty silentfilm short comedy charliechaplin charliechaplin ednapurviance ericcampbell albertaustin
Muppets Most Wanted,2014,Comedy Adventure Crime Family,English,James Bobin,6.27,musical puppetry themuppets comedyadventurecrimefamily jamesbobin rickygervais tyburrell tinafey stevewhitmire
Raise Your Voice,2004,Music Drama Romance,English,Sean McNamara,6.27,"music ""lifesdream"" aspiringsinger singer teenager deathofbrother grieving musicschool overprotectivefather musicdramaromance seanmcnamara hilaryduff oliverjames davidkeith johnnylewis"
¡Three Amigos!,1986,Comedy Western Adventure,English,John Landis,6.27,mexico hero village unitedstates–mexicobarrier confusion spoof westernhero westernband actor comedywesternadventure johnlandis chevychase stevemartin martinshort alfonsoaráu
"Alice, Sweet Alice",1976,Horror Mystery,English,Alfred Sole,6.27,singleparent churchservice burnedalive psychotronic videonasty proto-slasher horrormystery alfredsole lindamiller mildredclinton paulae.sheppard nilesmcmaster
The Rover,2014,Crime Drama,English,David Michôd,6.27,siblingrelationship smalltown hostage motel dystopia australia rifle money caraccident theft dog carchase desert neo-western midget crimedrama davidmichôd guypearce robertpattinson scootmcnairy davidfield
Wet Hot American Summer,2001,Comedy,English,David Wain,6.27,adolescence summercamp independentfilm comedy davidwain janeanegarofalo davidhydepierce michaelshowalter margueritemoreau
Arbitrage,2012,Drama Thriller,English,Nicholas Jarecki,6.27,manager mentalbreakdown cover-up hedgefund dramathriller nicholasjarecki richardgere susansarandon timroth britmarling
Pieces of April,2003,Comedy Drama,English,Peter Hedges,6.27,thanksgiving roadtrip love independentfilm neighbor marijuana family illness comedydrama peterhedges katieholmes derekluke patriciaclarkson oliverplatt
The Book of Love,2017,Drama,English,Bill Purple,6.27,architect raft waif drama billpurple jasonsudeikis maisiewilliams jessicabiel marysteenburgen
The Runaways,2010,Drama Music,English,Floria Sigismondi,6.27,1970s publicity iron music pill nightclub teenagegirl microphone rockmusic guitarist photoshoot drummer recording grandmother alcoholicdrink girlband femalerocker womandirector talentcompetition dramamusic floriasigismondi kristenstewart dakotafanning michaelshannon scouttaylorcompton
Bad Words,2013,Comedy,English,Jason Bateman,6.27,competition satire spellingbee estrangedfather unlikelyfriendship angerissues comedy jasonbateman jasonbateman kathrynhahn rohanchand philipbakerhall
Me and Orson Welles,2008,Comedy Drama Romance,English,Richard Linklater,6.27,newyorkcity basedonnovelorbook historicalfigure orsonwelles theater 1930s comedydramaromance richardlinklater zacefron clairedanes christianmckay imogenpoots
"White Hunter, Black Heart",1990,Action Adventure Drama,English,Clint Eastwood,6.27,africa moviebusiness elephant safari 1950s biggamehunter filmdirector actionadventuredrama clinteastwood clinteastwood jefffahey charlottecornwell georgedzundza
The Three Musketeers,1993,Action Adventure Comedy,English,Stephen Herek,6.27,paris france france basedonnovelorbook fight louisxiii satire swordfight musketeer extramaritalaffair swashbuckler diamondtheft 17thcentury actionadventurecomedydrama richardlester michaelyork oliverreed richardchamberlain frankfinlay
Harts War,2002,Drama War,English,Gregory Hoblit,6.27,blackpeople worldwarii prisonerofwar u.s.army war escape tribunal trial soldier militarytribunal xenophobia dramawar gregoryhoblit brucewillis colinfarrell terrencehoward marceliureș
The Salvation,2014,Drama Western,Danish,Kristian Levring,6.27,warveteran coffin gangleader revenge murder mute oil money gang shootout extortion undertaker train violence vengeance dramawestern kristianlevring madsmikkelsen evagreen jeffreydeanmorgan ericcantona
Forever Young,1992,Adventure Fantasy Drama Science Fiction Romance,English,Steve Miner,6.27,experiment testperson u.s.airforce cryogenics airplane suspendedanimation adventurefantasydramasciencefictionromance steveminer melgibson jamieleecurtis elijahwood isabelglasser
"Bianca come il latte, rossa come il sangue",2013,Drama Comedy,Italian,Giacomo Campiotti,6.27,Not Available dramacomedy giacomocampiotti filipposcicchitano gaiaweiss auroraruffino lucaargentero
Last Man Standing,1996,Action Crime Drama Thriller Mystery,English,Walter Hill,6.27,prohibitionera texas gangwar whiskey mafia ontherun tommygun hiredgun actioncrimedramathrillermystery walterhill brucewillis karinalombard brucedern williamsanderson
The Last Station,2009,Drama Romance,English,Michael Hoffman,6.27,basedonnovelorbook russia biography writer duringcreditsstinger 1910s dramaromance michaelhoffman helenmirren christopherplummer jamesmcavoy annemarieduff
Casanova,2005,Comedy Romance,English,Lasse Hallström,6.27,venice italy lover(female) menageatrois carnival casanova extramaritalaffair 18thcentury catholicism comedyromance lassehallström heathledger siennamiller jeremyirons oliverplatt
7 Years,2016,Drama,Spanish,Roger Gual,6.27,Not Available drama rogergual pacoleón juanpabloraba àlexbrendemühl juanaacosta
Animal Factory,2000,Crime Drama,English,Steve Buscemi,6.27,guitar jailguard strike prisonwarden survival crimedrama stevebuscemi willemdafoe edwardfurlong dannytrejo markboonejunior
There Is No Place Like Home,2018,Comedy,Italian,Gabriele Muccino,6.27,Not Available comedy gabrielemuccino stefanoaccorsi carolinacrescentini elenacucci teafalco
The Hole,2001,Crime Drama Horror Thriller,English,Nick Hamm,6.27,falselyaccused jealousy obsession claustrophobia bunker thirst groupdynamics bulimia alibi supernatural murder psychologist youth celebration crimedramahorrorthriller nickhamm thorabirch desmondharrington keiraknightley laurencefox
